iter	Passed	Remaining
440	1317	1669
441	1319	1665
442	1320	1660
443	1322	1655
444	1323	1651
445	1325	1646
446	1328	1643
447	1330	1639
448	1332	1634
449	1333	1629
450	1335	1625
451	1338	1622
452	1342	1621
453	1345	1617
454	1347	1613
455	1353	1614
456	1355	1610
457	1357	1606
458	1359	1602
459	1361	1598
460	1363	1594
461	1365	1590
462	1367	1586
463	1369	1582
464	1374	1581
465	1376	1577
466	1378	1573
467	1380	1569
468	1384	1567
469	1387	1565
470	1390	1561
471	1391	1557
472	1393	1553
473	1398	1552
474	1400	1548
475	1402	1544
476	1404	1540
477	1406	1536
478	1412	1536
479	1414	1532
480	1416	1528
481	1418	1524
482	1420	1520
483	1422	1516
484	1423	1511
485	1426	1508
486	1428	1504
487	1432	1503
488	1434	1499
489	1437	1495
490	1439	1492
491	1446	1493
492	1448	1490
493	1451	1486
494	1452	1482
495	1454	1478
496	1457	1475
497	1459	1471
498	1461	1467
499	1462	1462
500	1464	1458
501	1466	1454
502	1469	1452
503	1471	1448
504	1473	1444
505	1474	1439
506	1476	1435
507	1478	1431
508	1481	1429
509	1483	1425
510	1485	1421
511	1486	1417
512	1488	1413
513	1492	1411
514	1494	1407
515	1496	1403
516	1497	1399
517	1499	1395
518	1501	1391
519	1506	1390
520	1508	1386
521	1510	1382
522	1511	1378
523	1513	1375
524	1520	1375
525	1522	1372
526	1524	1368
527	1526	1364
528	1530	1362
529	1533	1359
530	1535	1355
531	1536	1352
532	1538	1348
533	1543	1346
534	1545	1342
535	1547	1339
536	1549	1335
537	1550	1331
538	1556	1331
539	1559	1328
540	1560	1324
541	1562	1320
542	1565	1317
543	1568	1314
544	1570	1311
545	1572	1307
546	1574	1303
547	1579	1302
548	1581	1299
549	1583	1295
550	1585	1291
551	1587	1288
552	1593	1288
553	1595	1284
554	1597	1281
555	1599	1277
556	1605	1276
557	1607	1273
558	1609	1270
559	1611	1266
560	1613	1262
561	1619	1262
562	1621	1258
563	1623	1255
564	1625	1251
565	1631	1251
566	1634	1247
567	1635	1244
568	1637	1240
569	1639	1236
570	1642	1234
571	1645	1231
572	1647	1227
573	1648	1223
574	1650	1220
575	1654	1217
576	1656	1214
577	1657	1210
578	1659	1206
579	1661	1202
580	1667	1202
581	1668	1198
582	1671	1195
583	1672	1191
584	1674	1187
585	1677	1184
586	1678	1181
587	1680	1177
588	1682	1174
589	1684	1170
590	1685	1166
591	1690	1165
592	1692	1161
593	1693	1157
594	1695	1153
595	1697	1150
596	1698	1146
597	1703	1145
598	1705	1141
599	1707	1138
600	1708	1134
601	1710	1130
602	1715	1129
603	1717	1126
604	1719	1122
605	1721	1119
606	1723	1115
607	1724	1111
608	1727	1109
609	1729	1105
610	1731	1102
611	1732	1098
612	1735	1095
613	1738	1092
614	1740	1089
615	1742	1085
616	1743	1082
617	1745	1079
618	1747	1075
619	1752	1074
620	1754	1070
621	1755	1067
622	1757	1063
623	1759	1059
624	1760	1056
625	1763	1053
626	1766	1050
627	1768	1047
628	1769	1043
629	1773	1041
630	1776	1038
631	1778	1035
632	1779	1031
633	1781	1028
634	1788	1028
635	1790	1024
636	1792	1021
637	1795	1018
638	1802	1018
639	1803	1014
640	1806	1011
641	1808	1008
642	1811	1005
643	1813	1002
644	1815	999
645	1817	995
646	1818	992
647	1823	990
648	1825	987
649	1827	984
650	1829	980
651	1831	977
652	1837	976
653	1840	973
654	1842	970
655	1844	967
656	1846	963
657	1849	961
658	1851	958
659	1853	954
660	1855	951
661	1861	950
662	1863	947
663	1865	944
664	1867	940
665	1869	937
666	1872	934
667	1874	931
668	1876	928
669	1878	925
670	1880	922
671	1882	918
672	1884	915
673	1885	912
674	1887	908
675	1889	905
676	1893	903
677	1895	900
678	1896	896
679	1898	893
680	1900	890
681	1903	887
682	1905	884
683	1906	880
684	1908	877
685	1910	874
686	1911	871
687	1916	869
688	1918	865
689	1919	862
690	1921	859
691	1922	855
692	1924	852
693	1929	850
694	1931	847
695	1933	844
696	1934	840
697	1936	837
698	1938	834
699	1941	832
700	1943	828
701	1944	825
702	1946	822
703	1947	819
704	1949	815
705	1955	814
706	1957	811
707	1959	808
708	1960	804
709	1962	801
710	1965	798
711	1967	796
712	1969	792
713	1971	789
714	1973	786
715	1975	783
716	1981	782
717	1984	779
718	1986	776
719	1987	772
720	1989	769
721	1992	767
722	1994	764
723	1996	760
724	1997	757
725	1999	754
726	2001	751
727	2004	748
728	2005	745
729	2007	742
730	2008	739
731	2010	736
732	2015	734
733	2017	731
734	2019	728
735	2021	725
736	2025	722
737	2029	720
738	2031	717
739	2033	714
740	2036	711
741	2040	709
742	2042	706
743	2044	703
744	2046	700
745	2051	698
746	2053	695
747	2055	692
748	2057	689
749	2059	686
750	2065	684
751	2067	681
752	2069	678
753	2071	675
754	2074	673
755	2078	670
756	2080	667
757	2082	664
758	2084	661
759	2090	660
760	2092	657
761	2094	654
762	2096	651
763	2103	649
764	2105	646
765	2107	643
766	2109	640
767	2111	637
768	2113	634
769	2115	631
770	2117	629
771	2120	626
772	2126	624
773	2128	621
774	2130	618
775	2132	615
776	2134	612
777	2138	610
778	2140	607
779	2141	604
780	2143	600
781	2144	597
782	2147	595
783	2149	592
784	2152	589
785	2153	586
786	2154	583
787	2156	580
788	2158	577
789	2162	574
790	2163	571
791	2209	580
792	2213	577
793	2215	574
794	2217	571
795	2218	568
796	2229	567
797	2251	569
798	2254	567
799	2256	564
800	2258	561
801	2262	558
802	2264	555
803	2266	552
804	2268	549
805	2273	547
806	2276	544
807	2277	541
808	2280	538
809	2282	535
810	2287	533
811	2289	530
812	2291	527
813	2293	524
814	2297	521
815	2300	518
816	2303	515
817	2305	512
818	2307	509
819	2311	507
820	2314	504
821	2316	501
822	2318	498
823	2321	495
824	2324	493
825	2327	490
826	2329	487
827	2331	484
828	2335	481
829	2337	478
830	2340	475
831	2342	472
832	2345	470
833	2349	467
834	2351	464
835	2353	461
836	2355	458
837	2356	455
838	2359	452
839	2362	449
840	2363	446
841	2365	443
842	2367	440
843	2369	437
844	2372	435
845	2374	432
846	2375	429
847	2377	426
848	2379	423
849	2380	420
850	2385	417
851	2387	414
852	2389	411
853	2391	408
854	2392	405
855	2395	403
856	2398	400
857	2400	397
858	2402	394
859	2403	391
860	2405	388
861	2407	385
862	2410	382
863	2412	379
864	2414	376
865	2416	373
866	2417	370
867	2420	368
868	2424	365
869	2425	362
870	2428	359
871	2430	356
872	2432	353
873	2436	351
874	2437	348
875	2439	345
876	2441	342
877	2442	339
878	2445	336
879	2448	333
880	2450	330
881	2452	328
882	2454	325
883	2455	322
884	2459	319
885	2461	316
886	2463	313
887	2465	311
888	2467	308
889	2469	305
890	2474	302
891	2475	299
892	2478	296
893	2480	294
894	2485	291
895	2487	288
896	2489	285
897	2491	283
898	2493	280
899	2498	277
900	2500	274
901	2502	271
902	2504	269
903	2509	266
904	2511	263
905	2513	260
906	2515	257
907	2517	255
908	2522	252
909	2524	249
910	2526	246
911	2528	243
912	2531	241
913	2534	238
914	2537	235
915	2539	232
916	2540	229
917	2544	227
918	2546	224
919	2549	221
920	2551	218
921	2557	216
922	2559	213
923	2561	210
924	2563	207
925	2568	205
926	2571	202
927	2573	199
928	2575	196
929	2579	194
930	2582	191
931	2584	188
932	2586	185
933	2588	182
934	2591	180
935	2593	177
936	2595	174
937	2596	171
938	2598	168
939	2600	165
940	2603	163
941	2605	160
942	2607	157
943	2609	154
944	2610	151
945	2612	149
946	2615	146
947	2617	143
948	2619	140
949	2621	137
950	2622	135
951	2624	132
952	2627	129
953	2629	126
954	2630	123
955	2632	121
956	2634	118
957	2637	115
958	2639	112
959	2641	110
960	2643	107
961	2645	104
962	2649	101
963	2651	99
964	2653	96
965	2655	93
966	2656	90
967	2658	87
968	2662	85
969	2665	82
970	2666	79
971	2668	76
972	2670	74
973	2672	71
974	2676	68
975	2678	65
976	2680	63
977	2682	60
978	2684	57
979	2688	54
980	2689	52
981	2691	49
982	2693	46
983	2694	43
984	2696	41
985	2701	38
986	2703	35
987	2705	32
988	2706	30
989	2709	27
990	2712	24
991	2714	21
992	2716	19
993	2718	16
994	2720	13
995	2726	10
996	2728	8
997	2729	5
998	2731	2
999	2734	0
